Year,Division,School,Level,Subgroup,Test Level,Subject Area,Subject,Percent Pass
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Female,,ENGR,English Reading,62
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Hispanic,,ENGR,English Reading,51
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Homeless,,ENGR,English Reading,41
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Male,,ENGR,English Reading,54
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Multiple Races,,ENGR,English Reading,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Not Economically Disadvantaged,,ENGR,English Reading,81
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students with Disabilities,,ENGR,English Reading,32
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students without Disabilities,,ENGR,English Reading,61
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,White,,ENGR,English Reading,97
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,All Students,3,ENGR,Grade 3 English Reading,61
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Asian,3,ENGR,Grade 3 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Black,3,ENGR,Grade 3 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Economically Disadvantaged,3,ENGR,Grade 3 English Reading,52
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,English Learners,3,ENGR,Grade 3 English Reading,48
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Female,3,ENGR,Grade 3 English Reading,67
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Hispanic,3,ENGR,Grade 3 English Reading,50
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Homeless,3,ENGR,Grade 3 English Reading,42
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Male,3,ENGR,Grade 3 English Reading,54
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Not Economically Disadvantaged,3,ENGR,Grade 3 English Reading,90
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students with Disabilities,3,ENGR,Grade 3 English Reading,45
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students without Disabilities,3,ENGR,Grade 3 English Reading,63
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,White,3,ENGR,Grade 3 English Reading,100
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,All Students,4,ENGR,Grade 4 English Reading,52
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Asian,4,ENGR,Grade 4 English Reading,50
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Black,4,ENGR,Grade 4 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Economically Disadvantaged,4,ENGR,Grade 4 English Reading,42
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,English Learners,4,ENGR,Grade 4 English Reading,29
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Female,4,ENGR,Grade 4 English Reading,54
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Hispanic,4,ENGR,Grade 4 English Reading,47
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Homeless,4,ENGR,Grade 4 English Reading,36
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Male,4,ENGR,Grade 4 English Reading,50
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Multiple Races,4,ENGR,Grade 4 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Not Economically Disadvantaged,4,ENGR,Grade 4 English Reading,75
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students with Disabilities,4,ENGR,Grade 4 English Reading,45
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students without Disabilities,4,ENGR,Grade 4 English Reading,53
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,White,4,ENGR,Grade 4 English Reading,100
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,All Students,5,ENGR,Grade 5 English Reading,61
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Asian,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Black,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Economically Disadvantaged,5,ENGR,Grade 5 English Reading,55
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,English Learners,5,ENGR,Grade 5 English Reading,26
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Female,5,ENGR,Grade 5 English Reading,65
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Hispanic,5,ENGR,Grade 5 English Reading,56
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Homeless,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Male,5,ENGR,Grade 5 English Reading,58
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Not Economically Disadvantaged,5,ENGR,Grade 5 English Reading,82
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students with Disabilities,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students without Disabilities,5,ENGR,Grade 5 English Reading,68
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,White,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,All Students,3,MATH,Grade 3 Mathematics,89
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Asian,3,MATH,Grade 3 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Black,3,MATH,Grade 3 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Economically Disadvantaged,3,MATH,Grade 3 Mathematics,88
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,English Learners,3,MATH,Grade 3 Mathematics,89
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Female,3,MATH,Grade 3 Mathematics,86
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Hispanic,3,MATH,Grade 3 Mathematics,88
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Homeless,3,MATH,Grade 3 Mathematics,75
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Male,3,MATH,Grade 3 Mathematics,93
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Not Economically Disadvantaged,3,MATH,Grade 3 Mathematics,90
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students with Disabilities,3,MATH,Grade 3 Mathematics,73
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students without Disabilities,3,MATH,Grade 3 Mathematics,91
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,White,3,MATH,Grade 3 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,All Students,4,MATH,Grade 4 Mathematics,75
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Asian,4,MATH,Grade 4 Mathematics,50
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Black,4,MATH,Grade 4 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Economically Disadvantaged,4,MATH,Grade 4 Mathematics,75
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,English Learners,4,MATH,Grade 4 Mathematics,66
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Female,4,MATH,Grade 4 Mathematics,75
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Hispanic,4,MATH,Grade 4 Mathematics,76
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Homeless,4,MATH,Grade 4 Mathematics,71
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Male,4,MATH,Grade 4 Mathematics,75
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Multiple Races,4,MATH,Grade 4 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Not Economically Disadvantaged,4,MATH,Grade 4 Mathematics,75
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students with Disabilities,4,MATH,Grade 4 Mathematics,64
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students without Disabilities,4,MATH,Grade 4 Mathematics,76
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,White,4,MATH,Grade 4 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,All Students,5,MATH,Grade 5 Mathematics,57
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Asian,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Black,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Economically Disadvantaged,5,MATH,Grade 5 Mathematics,54
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,English Learners,5,MATH,Grade 5 Mathematics,25
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Female,5,MATH,Grade 5 Mathematics,59
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Hispanic,5,MATH,Grade 5 Mathematics,52
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Homeless,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Male,5,MATH,Grade 5 Mathematics,56
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Not Economically Disadvantaged,5,MATH,Grade 5 Mathematics,68
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students with Disabilities,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students without Disabilities,5,MATH,Grade 5 Mathematics,64
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,White,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,All Students,,MATH,Mathematics,74
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Asian,,MATH,Mathematics,69
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Black,,MATH,Mathematics,71
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Economically Disadvantaged,,MATH,Mathematics,72
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,English Learners,,MATH,Mathematics,64
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Female,,MATH,Mathematics,74
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Hispanic,,MATH,Mathematics,71
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Homeless,,MATH,Mathematics,68
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Male,,MATH,Mathematics,74
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Multiple Races,,MATH,Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Not Economically Disadvantaged,,MATH,Mathematics,77
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students with Disabilities,,MATH,Mathematics,48
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students without Disabilities,,MATH,Mathematics,77
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,White,,MATH,Mathematics,93
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,All Students,,ENGR,English Reading,46
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,American Indian,,ENGR,English Reading,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Asian,,ENGR,English Reading,73
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Black,,ENGR,English Reading,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Economically Disadvantaged,,ENGR,English Reading,42
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,English Learners,,ENGR,English Reading,27
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Female,,ENGR,English Reading,50
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Foster Care,,ENGR,English Reading,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Hispanic,,ENGR,English Reading,41
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Homeless,,ENGR,English Reading,21
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Male,,ENGR,English Reading,41
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Multiple Races,,ENGR,English Reading,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Not Economically Disadvantaged,,ENGR,English Reading,65
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students with Disabilities,,ENGR,English Reading,31
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students without Disabilities,,ENGR,English Reading,48
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,White,,ENGR,English Reading,75
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,All Students,3,ENGR,Grade 3 English Reading,33
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Asian,3,ENGR,Grade 3 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Black,3,ENGR,Grade 3 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Economically Disadvantaged,3,ENGR,Grade 3 English Reading,31
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,English Learners,3,ENGR,Grade 3 English Reading,20
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Female,3,ENGR,Grade 3 English Reading,43
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Hispanic,3,ENGR,Grade 3 English Reading,29
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Homeless,3,ENGR,Grade 3 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Male,3,ENGR,Grade 3 English Reading,22
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Not Economically Disadvantaged,3,ENGR,Grade 3 English Reading,50
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students with Disabilities,3,ENGR,Grade 3 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students without Disabilities,3,ENGR,Grade 3 English Reading,35
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,White,3,ENGR,Grade 3 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,All Students,4,ENGR,Grade 4 English Reading,55
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Asian,4,ENGR,Grade 4 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Economically Disadvantaged,4,ENGR,Grade 4 English Reading,50
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,English Learners,4,ENGR,Grade 4 English Reading,38
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Female,4,ENGR,Grade 4 English Reading,58
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Hispanic,4,ENGR,Grade 4 English Reading,48
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Homeless,4,ENGR,Grade 4 English Reading,25
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Male,4,ENGR,Grade 4 English Reading,54
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Not Economically Disadvantaged,4,ENGR,Grade 4 English Reading,83
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students with Disabilities,4,ENGR,Grade 4 English Reading,55
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students without Disabilities,4,ENGR,Grade 4 English Reading,56
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,White,4,ENGR,Grade 4 English Reading,100
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,All Students,5,ENGR,Grade 5 English Reading,47
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Asian,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Black,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Economically Disadvantaged,5,ENGR,Grade 5 English Reading,44
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,English Learners,5,ENGR,Grade 5 English Reading,22
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Female,5,ENGR,Grade 5 English Reading,51
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Hispanic,5,ENGR,Grade 5 English Reading,45
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Homeless,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Male,5,ENGR,Grade 5 English Reading,44
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Multiple Races,5,ENGR,Grade 5 English Reading,100
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Not Economically Disadvantaged,5,ENGR,Grade 5 English Reading,60
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students with Disabilities,5,ENGR,Grade 5 English Reading,21
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students without Disabilities,5,ENGR,Grade 5 English Reading,53
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,White,5,ENGR,Grade 5 English Reading,64
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,All Students,3,MATH,Grade 3 Mathematics,57
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Asian,3,MATH,Grade 3 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Black,3,MATH,Grade 3 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Economically Disadvantaged,3,MATH,Grade 3 Mathematics,56
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,English Learners,3,MATH,Grade 3 Mathematics,48
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Female,3,MATH,Grade 3 Mathematics,65
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Hispanic,3,MATH,Grade 3 Mathematics,55
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Homeless,3,MATH,Grade 3 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Male,3,MATH,Grade 3 Mathematics,48
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Not Economically Disadvantaged,3,MATH,Grade 3 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students with Disabilities,3,MATH,Grade 3 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students without Disabilities,3,MATH,Grade 3 Mathematics,60
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,White,3,MATH,Grade 3 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,All Students,4,MATH,Grade 4 Mathematics,65
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Asian,4,MATH,Grade 4 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Economically Disadvantaged,4,MATH,Grade 4 Mathematics,65
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,English Learners,4,MATH,Grade 4 Mathematics,58
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Female,4,MATH,Grade 4 Mathematics,64
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Hispanic,4,MATH,Grade 4 Mathematics,64
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Homeless,4,MATH,Grade 4 Mathematics,33
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Male,4,MATH,Grade 4 Mathematics,66
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Not Economically Disadvantaged,4,MATH,Grade 4 Mathematics,67
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students with Disabilities,4,MATH,Grade 4 Mathematics,45
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students without Disabilities,4,MATH,Grade 4 Mathematics,68
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,White,4,MATH,Grade 4 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,All Students,5,MATH,Grade 5 Mathematics,71
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Asian,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Black,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Economically Disadvantaged,5,MATH,Grade 5 Mathematics,66
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,English Learners,5,MATH,Grade 5 Mathematics,53
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Female,5,MATH,Grade 5 Mathematics,71
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Hispanic,5,MATH,Grade 5 Mathematics,67
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Homeless,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Male,5,MATH,Grade 5 Mathematics,71
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Multiple Races,5,MATH,Grade 5 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Not Economically Disadvantaged,5,MATH,Grade 5 Mathematics,93
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students with Disabilities,5,MATH,Grade 5 Mathematics,36
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students without Disabilities,5,MATH,Grade 5 Mathematics,79
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,White,5,MATH,Grade 5 Mathematics,91
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,All Students,,MATH,Mathematics,65
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,American Indian,,MATH,Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Asian,,MATH,Mathematics,80
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Black,,MATH,Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Economically Disadvantaged,,MATH,Mathematics,62
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,English Learners,,MATH,Mathematics,53
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Female,,MATH,Mathematics,67
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Foster Care,,MATH,Mathematics,100
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Hispanic,,MATH,Mathematics,62
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Homeless,,MATH,Mathematics,39
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Male,,MATH,Mathematics,63
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Multiple Races,,MATH,Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Not Economically Disadvantaged,,MATH,Mathematics,78
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students with Disabilities,,MATH,Mathematics,39
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students without Disabilities,,MATH,Mathematics,69
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,White,,MATH,Mathematics,80
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,,ENGR,English Reading,52
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,,ENGR,English Reading,59
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,,ENGR,English Reading,56
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Economically Disadvantaged,,ENGR,English Reading,44
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,English Learners,,ENGR,English Reading,25
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,,ENGR,English Reading,54
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,,ENGR,English Reading,41
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,,ENGR,English Reading,30
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,,ENGR,English Reading,51
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Military Connected,,ENGR,English Reading,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Multiple Races,,ENGR,English Reading,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Not Economically Disadvantaged,,ENGR,English Reading,67
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,,ENGR,English Reading,33
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students without Disabilities,,ENGR,English Reading,55
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,,ENGR,English Reading,71
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,3,ENGR,Grade 3 English Reading,46
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,3,ENGR,Grade 3 English Reading,47
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,3,ENGR,Grade 3 English Reading,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Economically Disadvantaged,3,ENGR,Grade 3 English Reading,38
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,English Learners,3,ENGR,Grade 3 English Reading,26
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,3,ENGR,Grade 3 English Reading,50
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,3,ENGR,Grade 3 English Reading,36
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,3,ENGR,Grade 3 English Reading,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,3,ENGR,Grade 3 English Reading,41
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Military Connected,3,ENGR,Grade 3 English Reading,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Multiple Races,3,ENGR,Grade 3 English Reading,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Not Economically Disadvantaged,3,ENGR,Grade 3 English Reading,57
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,3,ENGR,Grade 3 English Reading,20
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students without Disabilities,3,ENGR,Grade 3 English Reading,51
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,3,ENGR,Grade 3 English Reading,71
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,4,ENGR,Grade 4 English Reading,55
