Year,Division,School,Level,Subgroup,Test Level,Subject Area,Subject,Percent Pass
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,,MATH,Mathematics,46
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students without Disabilities,,MATH,Mathematics,81
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,,MATH,Mathematics,93
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,,ENGR,English Reading,57
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,American Indian,,ENGR,English Reading,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,,ENGR,English Reading,70
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Black,,ENGR,English Reading,80
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Economically Disadvantaged,,ENGR,English Reading,52
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,English Learners,,ENGR,English Reading,36
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Female,,ENGR,English Reading,59
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,,ENGR,English Reading,53
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,,ENGR,English Reading,37
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Male,,ENGR,English Reading,54
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Military Connected,,ENGR,English Reading,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Multiple Races,,ENGR,English Reading,100
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Not Economically Disadvantaged,,ENGR,English Reading,84
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,,ENGR,English Reading,36
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students without Disabilities,,ENGR,English Reading,59
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,White,,ENGR,English Reading,77
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,3,ENGR,Grade 3 English Reading,39
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,American Indian,3,ENGR,Grade 3 English Reading,100
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,3,ENGR,Grade 3 English Reading,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Black,3,ENGR,Grade 3 English Reading,100
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Economically Disadvantaged,3,ENGR,Grade 3 English Reading,34
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,English Learners,3,ENGR,Grade 3 English Reading,32
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Female,3,ENGR,Grade 3 English Reading,46
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,3,ENGR,Grade 3 English Reading,33
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,3,ENGR,Grade 3 English Reading,18
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Male,3,ENGR,Grade 3 English Reading,31
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Military Connected,3,ENGR,Grade 3 English Reading,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Multiple Races,3,ENGR,Grade 3 English Reading,100
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Not Economically Disadvantaged,3,ENGR,Grade 3 English Reading,73
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,3,ENGR,Grade 3 English Reading,42
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students without Disabilities,3,ENGR,Grade 3 English Reading,39
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,White,3,ENGR,Grade 3 English Reading,100
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,4,ENGR,Grade 4 English Reading,55
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,4,ENGR,Grade 4 English Reading,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Black,4,ENGR,Grade 4 English Reading,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Economically Disadvantaged,4,ENGR,Grade 4 English Reading,51
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,English Learners,4,ENGR,Grade 4 English Reading,38
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Female,4,ENGR,Grade 4 English Reading,58
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,4,ENGR,Grade 4 English Reading,52
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,4,ENGR,Grade 4 English Reading,37
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Male,4,ENGR,Grade 4 English Reading,53
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Not Economically Disadvantaged,4,ENGR,Grade 4 English Reading,85
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,4,ENGR,Grade 4 English Reading,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students without Disabilities,4,ENGR,Grade 4 English Reading,59
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,White,4,ENGR,Grade 4 English Reading,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,5,ENGR,Grade 5 English Reading,76
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Black,5,ENGR,Grade 5 English Reading,100
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Economically Disadvantaged,5,ENGR,Grade 5 English Reading,73
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,English Learners,5,ENGR,Grade 5 English Reading,41
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Female,5,ENGR,Grade 5 English Reading,76
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,5,ENGR,Grade 5 English Reading,75
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,5,ENGR,Grade 5 English Reading,70
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Male,5,ENGR,Grade 5 English Reading,78
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Not Economically Disadvantaged,5,ENGR,Grade 5 English Reading,89
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students without Disabilities,5,ENGR,Grade 5 English Reading,78
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,White,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,3,MATH,Grade 3 Mathematics,76
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,American Indian,3,MATH,Grade 3 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,3,MATH,Grade 3 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Black,3,MATH,Grade 3 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Economically Disadvantaged,3,MATH,Grade 3 Mathematics,73
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,English Learners,3,MATH,Grade 3 Mathematics,75
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Female,3,MATH,Grade 3 Mathematics,73
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,3,MATH,Grade 3 Mathematics,74
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,3,MATH,Grade 3 Mathematics,53
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Male,3,MATH,Grade 3 Mathematics,81
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Military Connected,3,MATH,Grade 3 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Multiple Races,3,MATH,Grade 3 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Not Economically Disadvantaged,3,MATH,Grade 3 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,3,MATH,Grade 3 Mathematics,67
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students without Disabilities,3,MATH,Grade 3 Mathematics,78
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,White,3,MATH,Grade 3 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,4,MATH,Grade 4 Mathematics,75
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,4,MATH,Grade 4 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Black,4,MATH,Grade 4 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Economically Disadvantaged,4,MATH,Grade 4 Mathematics,73
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,English Learners,4,MATH,Grade 4 Mathematics,67
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Female,4,MATH,Grade 4 Mathematics,69
