ID Age,Age,ID Year,Year,ID Poverty Status,Poverty Status,Poverty Population,Poverty Population Moe,Geography,ID Geography,Slug Geography,share,Sex,ID Sex
2,"6 to 11 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",33,41,"Sterling, VA","16000US5175376","sterling-va",0.02217741935483871,"Male",0
2,"6 to 11 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",20,25,"Sterling, VA","16000US5175376","sterling-va",0.013440860215053764,"Female",1
3,"12 to 14 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",40,48,"Sterling, VA","16000US5175376","sterling-va",0.026881720430107527,"Male",0
3,"12 to 14 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",24,28,"Sterling, VA","16000US5175376","sterling-va",0.016129032258064516,"Female",1
4,"15 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",31,35,"Sterling, VA","16000US5175376","sterling-va",0.020833333333333332,"Male",0
4,"15 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",17,28,"Sterling, VA","16000US5175376","sterling-va",0.0114247311827957,"Female",1
5,"16 & 17 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",9,14,"Sterling, VA","16000US5175376","sterling-va",0.006048387096774193,"Male",0
5,"16 & 17 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",25,40,"Sterling, VA","16000US5175376","sterling-va",0.016801075268817203,"Female",1
6,"18 to 24 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",46,60.00000000000001,"Sterling, VA","16000US5175376","sterling-va",0.030913978494623656,"Male",0
6,"18 to 24 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",101,78,"Sterling, VA","16000US5175376","sterling-va",0.0678763440860215,"Female",1
7,"25 to 34 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",36,37,"Sterling, VA","16000US5175376","sterling-va",0.024193548387096774,"Male",0
7,"25 to 34 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",53,32,"Sterling, VA","16000US5175376","sterling-va",0.035618279569892476,"Female",1
8,"35 to 44 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",11,17,"Sterling, VA","16000US5175376","sterling-va",0.00739247311827957,"Male",0
8,"35 to 44 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",212,111,"Sterling, VA","16000US5175376","sterling-va",0.1424731182795699,"Female",1
9,"45 to 54 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",81,61,"Sterling, VA","16000US5175376","sterling-va",0.05443548387096774,"Male",0
9,"45 to 54 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",56,44,"Sterling, VA","16000US5175376","sterling-va",0.03763440860215054,"Female",1
10,"55 to 64 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",60,42,"Sterling, VA","16000US5175376","sterling-va",0.04032258064516129,"Male",0
10,"55 to 64 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",93,60.00000000000001,"Sterling, VA","16000US5175376","sterling-va",0.0625,"Female",1
11,"65 to 74 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",0,25,"Sterling, VA","16000US5175376","sterling-va",0,"Male",0
11,"65 to 74 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",129,104,"Sterling, VA","16000US5175376","sterling-va",0.08669354838709678,"Female",1
12,"75 Years & Over",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",51,53,"Sterling, VA","16000US5175376","sterling-va",0.034274193548387094,"Male",0
12,"75 Years & Over",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",207,100,"Sterling, VA","16000US5175376","sterling-va",0.13911290322580644,"Female",1
0,"Under 5 Years",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",125,78,"Sterling, VA","16000US5175376","sterling-va",0.0708215297450425,"Male",0
0,"Under 5 Years",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",32,45,"Sterling, VA","16000US5175376","sterling-va",0.018130311614730877,"Female",1
1,"5 Years",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",49,53,"Sterling, VA","16000US5175376","sterling-va",0.027762039660056657,"Male",0
1,"5 Years",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",45,44,"Sterling, VA","16000US5175376","sterling-va",0.025495750708215296,"Female",1
2,"6 to 11 Years",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",43,45,"Sterling, VA","16000US5175376","sterling-va",0.024362606232294616,"Male",0
2,"6 to 11 Years",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",50,47,"Sterling, VA","16000US5175376","sterling-va",0.028328611898016998,"Female",1
3,"12 to 14 Years",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",36,46,"Sterling, VA","16000US5175376","sterling-va",0.020396600566572238,"Male",0
3,"12 to 14 Years",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",24,30.000000000000004,"Sterling, VA","16000US5175376","sterling-va",0.013597733711048159,"Female",1
4,"15 Years",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",44,44,"Sterling, VA","16000US5175376","sterling-va",0.024929178470254956,"Male",0
4,"15 Years",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",26,36,"Sterling, VA","16000US5175376","sterling-va",0.014730878186968839,"Female",1
5,"16 & 17 Years",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",13,20,"Sterling, VA","16000US5175376","sterling-va",0.0073654390934844195,"Male",0
5,"16 & 17 Years",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",27,39,"Sterling, VA","16000US5175376","sterling-va",0.01529745042492918,"Female",1
